Condition,Chemistry,Climate,Terrain,Model,RMSE,R2,MAE,Size_MB,Latency_ms,Memory_OK,RMSE_norm,Latency_norm,Size_norm,Penalty,Score
NMC | Cold & City/Hilly,NMC,Cold,City/Hilly,XGBoost,32.45028,-1976.845973,32.442076,0.6615,1.8931,True,1.0,0.027530510230121437,0.0029790008492686197,0.0,0.606102
NMC | Cold & City/Hilly,NMC,Cold,City/Hilly,Random Forest,10.777487,-217.167751,10.753273,221.0168,40.7629,False,0.3306197017246506,1.0,1.0,1.0,1.598372
NMC | Cold & City/Hilly,NMC,Cold,City/Hilly,Decision Tree,0.677718,0.137312,0.314021,0.0337,0.7927,True,0.018680839680790914,0.0,0.00013845295563125727,0.0,0.011236
NMC | Cold & City/Hilly,NMC,Cold,City/Hilly,Linear Regression,0.072881,0.990023,0.050182,0.0031,0.8223,True,0.0,0.0007405517110247151,0.0,0.0,0.000148
NMC | Cold & City/Hilly,NMC,Cold,City/Hilly,Support Vector Regressor,0.33279,0.791984,0.166091,0.0285,1.1741,True,0.008027482380533408,0.009542108871108974,0.00011492500238672988,0.0,0.006748
NMC | Cold & City/Hilly,NMC,Cold,City/Hilly,K-Nearest Neighbors,0.505342,0.520347,0.263617,0.1306,1.0168,True,0.01335687897597951,0.005606676974345886,0.0005768873151302385,0.0,0.009251
NMC | Hot & City/Hilly,NMC,Hot,City/Hilly,XGBoost,32.916366,-1789.100987,32.907171,0.6615,1.8931,True,1.0,0.027530510230121437,0.0029790008492686197,0.0,0.606102
NMC | Hot & City/Hilly,NMC,Hot,City/Hilly,Random Forest,11.242985,-207.841589,11.216561,221.0168,40.7629,False,0.33951007886914947,1.0,1.0,1.0,1.603706
NMC | Hot & City/Hilly,NMC,Hot,City/Hilly,Decision Tree,1.04127,-0.791352,0.708018,0.0337,0.7927,True,0.02861581019231429,0.0,0.00013845295563125727,0.0,0.017197
NMC | Hot & City/Hilly,NMC,Hot,City/Hilly,Linear Regression,0.102268,0.98272,0.077403,0.0031,0.8223,True,0.0,0.0007405517110247151,0.0,0.0,0.000148
NMC | Hot & City/Hilly,NMC,Hot,City/Hilly,Support Vector Regressor,0.537448,0.522771,0.327341,0.0285,1.1741,True,0.013261982700240612,0.009542108871108974,0.00011492500238672988,0.0,0.009889
