Condition,Chemistry,Climate,Terrain,Model,RMSE,R2,MAE,Size_MB,Latency_ms,Memory_OK,RMSE_norm,Latency_norm,Size_norm,Penalty,Score,Rank
NMC | Hot & Highway,NMC,Hot,Highway,Decision Tree,0.108098,0.990067,0.04395,0.0337,0.7927,True,0.00013612329759456624,0.0,0.00013845295563125727,0.0,0.000109,1
NMC | Optimal & Highway,NMC,Optimal,Highway,Linear Regression,0.041614,0.997795,0.032133,0.0031,0.8223,True,0.0,0.0007405517110247151,0.0,0.0,0.000148,1
NMC | Cold & City/Hilly,NMC,Cold,City/Hilly,Linear Regression,0.072881,0.990023,0.050182,0.0031,0.8223,True,0.0,0.0007405517110247151,0.0,0.0,0.000148,1
NMC | Optimal & City/Hilly,NMC,Optimal,City/Hilly,Linear Regression,0.086655,0.988022,0.060639,0.0031,0.8223,True,0.0,0.0007405517110247151,0.0,0.0,0.000148,1
NMC | Hot & Highway,NMC,Hot,Highway,Linear Regression,0.103668,0.990865,0.040316,0.0031,0.8223,True,0.0,0.0007405517110247151,0.0,0.0,0.000148,2
NMC | Hot & City/Hilly,NMC,Hot,City/Hilly,Linear Regression,0.102268,0.98272,0.077403,0.0031,0.8223,True,0.0,0.0007405517110247151,0.0,0.0,0.000148,1
NMC | Optimal & Highway,NMC,Optimal,Highway,Decision Tree,0.108529,0.985,0.048178,0.0337,0.7927,True,0.0020489320429731,0.0,0.00013845295563125727,0.0,0.001257,2
NMC | Hot & Highway,NMC,Hot,Highway,Support Vector Regressor,0.166335,0.976481,0.080858,0.0285,1.1741,True,0.0019256069278462027,0.009542108871108974,0.00011492500238672988,0.0,0.003087,3
NMC | Optimal & Highway,NMC,Optimal,Highway,Support Vector Regressor,0.156789,0.968694,0.074248,0.0285,1.1741,True,0.0035266494515344368,0.009542108871108974,0.00011492500238672988,0.0,0.004047,3
NMC | Cold & City/Hilly,NMC,Cold,City/Hilly,Support Vector Regressor,0.33279,0.791984,0.166091,0.0285,1.1741,True,0.008027482380533408,0.009542108871108974,0.00011492500238672988,0.0,0.006748,2
NMC | Optimal & City/Hilly,NMC,Optimal,City/Hilly,Support Vector Regressor,0.427445,0.708548,0.229329,0.0285,1.1741,True,0.010443566739598082,0.009542108871108974,0.00011492500238672988,0.0,0.008198,2
NMC | Cold & City/Hilly,NMC,Cold,City/Hilly,K-Nearest Neighbors,0.505342,0.520347,0.263617,0.1306,1.0168,True,0.01335687897597951,0.005606676974345886,0.0005768873151302385,0.0,0.009251,3
NMC | Optimal & City/Hilly,NMC,Optimal,City/Hilly,K-Nearest Neighbors,0.554622,0.509319,0.327406,0.1306,1.0168,True,0.014340927246778058,0.005606676974345886,0.0005768873151302385,0.0,0.009841,3
NMC | Hot & City/Hilly,NMC,Hot,City/Hilly,Support Vector Regressor,0.537448,0.522771,0.327341,0.0285,1.1741,True,0.013261982700240612,0.009542108871108974,0.00011492500238672988,0.0,0.009889,2
NMC | Hot & City/Hilly,NMC,Hot,City/Hilly,K-Nearest Neighbors,0.68522,0.224265,0.478102,0.1306,1.0168,True,0.01776529100388498,0.005606676974345886,0.0005768873151302385,0.0,0.011896,3
